feature,importance
last_3f,13333.747200534315
jockey_frequency,4830.015164949521
age,4141.9864784131105
trainer_frequency,3830.693899862177
horse_weight_kg,3764.6690687549344
year,2876.0589580638275
race_avg_odds,2875.393405647429
field_size,2534.6829087493916
race_avg_weight,2235.6155953074413
jockey_encoded,1702.5507978513488
month,1507.568255491181
trainer_encoded,1251.1030366443065
venue_code,1108.0961623315325
weight,1107.5704132335813
race_type_encoded,654.1750223811946
sex_encoded,595.3912621327818
day_of_week,340.72702223062515
race_number,69.19990992546082
horse_weight_change,0.0
