feature,importance
last_3f,20026.144612431526
popularity,5753.370597720146
odds_numeric,5563.225443661213
field_size,1825.0732123851776
trainer_frequency,1296.5229587852955
month,1067.5490095615387
race_avg_odds,1061.1568343639374
horse_weight_kg,1019.0440858080983
jockey_frequency,969.5619569867849
race_avg_weight,966.9514165520668
year,876.9127172827721
jockey_encoded,595.7257088422775
race_type_encoded,445.76619404554367
venue_code,437.43851268291473
trainer_encoded,294.0716403722763
weight,250.23817229270935
age,234.82884991168976
sex_encoded,201.1693389415741
day_of_week,75.06180012226105
race_number,4.531980037689209
horse_weight_change,0.0
